subject_cui;subject_name;predicate;object_cui;object_name;frequency
C1448177|7124;TNF protein, human|TNF;DISRUPTS;C0007634;Cells;110
C0038838;Superoxide Dismutase;DISRUPTS;C0023884;Liver;18
C0032615;Polyunsaturated Fatty Acids;DISRUPTS;C0018270;Growth;40
C1135135;erlotinib;DISRUPTS;C1150423;kinase activity;14
C0086268;Etidronate;DISRUPTS;C0342649;Vascular calcification;7
C0032594;Polysaccharides;DISRUPTS;C0042765;Virulence;10
C0085295;Interleukin-10;DISRUPTS;C0039194;T-Lymphocyte;63
C0003360;Antihistamines;DISRUPTS;C0033774;Pruritus;7
C0023810;Lipopolysaccharides;DISRUPTS;C0041904;Up-Regulation (Physiology);9
C1144384;G-3139 oligonucleotide;DISRUPTS;C1153488;apoptogenic cytochrome c release channel activity;10
C0079925;Oligonucleotides, Antisense;DISRUPTS;C1153488;apoptogenic cytochrome c release channel activity;17
C0007036;Carbonic Anhydrase Inhibitors;DISRUPTS;C1522821;acidification;6
C0019134;Heparin;DISRUPTS;C0162638;Apoptosis;13
C0011854;Diabetes Mellitus, Insulin-Dependent;DISRUPTS;C0007634;Cells;196
C0166417;PPAR gamma;DISRUPTS;C0596290;Cell Proliferation;45
C0021107;Implantation procedure;DISRUPTS;C0013935;Embryo;6
C1328819;small molecule;DISRUPTS;C1330957;Cytokinesis of the fertilized ovum;11
C0035668;RNA;DISRUPTS;C1330957;Cytokinesis of the fertilized ovum;21
C0013879;Elements;DISRUPTS;C0600688;Toxic effect;6
C0010656;caspase;DISRUPTS;C0007587;Cell Death;33
C0020402;hydroxyurea;DISRUPTS;C0596290;Cell Proliferation;9
C0013227;Pharmaceutical Preparations;DISRUPTS;C0542479;Energy, Physics;8
C0009968;Copper;DISRUPTS;C0018270;Growth;98
C0060926;gabapentin;DISRUPTS;C0003467;Anxiety;12
C0910167;caspase-9;DISRUPTS;C0162638;Apoptosis;54
C0014930;Estrogen Antagonists;DISRUPTS;C0018270;Growth;81
C0018282;Growth Inhibitors;DISRUPTS;C0018270;Growth;49
C0162768;Fusion Protein;DISRUPTS;C0021311;Infection;6
C0010762;Cytochrome P450;DISRUPTS;C0023884;Liver;16
C0016360;Fluorouracil;DISRUPTS;C0018270;Growth;222
C0064971;Lignans;DISRUPTS;C0018270;Growth;14
C0007735;Cephalothin;DISRUPTS;C0018270;Growth;8
C0220892;Penicillin;DISRUPTS;C0018270;Growth;35
C0067762;N-Acetylneuraminic Acid;DISRUPTS;C0018903;Hemagglutination;13
C0021311;Infection;DISRUPTS;C0003261;Antibody Formation;14
C0003995;Asparagine;DISRUPTS;C0597295;Protein Biosynthesis;7
C0032575;Polyphosphates;DISRUPTS;C0018270;Growth;15
C0003232;Antibiotics;DISRUPTS;C1457887;Symptoms;14
C0037494;Sodium Chloride;DISRUPTS;C0544461;Inactivation;7
C0033482;Propionic Acids;DISRUPTS;C0018270;Growth;8
C0981805;ACETIC;DISRUPTS;C0018270;Growth;8
C0014964;Ethambutol;DISRUPTS;C0018270;Growth;11
C0035608;Rifampin;DISRUPTS;C0018270;Growth;74
C0038425;Streptomycin;DISRUPTS;C0018270;Growth;49
C0026187;Minocycline;DISRUPTS;C0018270;Growth;20
C0012550;Diphtheria Toxin;DISRUPTS;C0597295;Protein Biosynthesis;55
C0019892;Homoserine;DISRUPTS;C0018270;Growth;7
C1136254;Microbicides;DISRUPTS;C0007623;Cell Wall;9
C0040549;Toxin;DISRUPTS;C0597295;Protein Biosynthesis;147
C0020281;Hydrogen Peroxide;DISRUPTS;C0043240;Wound Healing;7
C0035668;RNA;DISRUPTS;C0018270;Growth;99
C0220892;Penicillin;DISRUPTS;C0007590;Cell division;10
C0019602;Histidine;DISRUPTS;C0018270;Growth;22
C0025646;Methionine;DISRUPTS;C0018270;Growth;50
C0031453;Phenylalanine;DISRUPTS;C0018270;Growth;40
C0002520;Amino Acids;DISRUPTS;C0018270;Growth;107
C0007004;Carbohydrates;DISRUPTS;C0018270;Growth;34
C0038760;Sulfonamides;DISRUPTS;C0018270;Growth;20
C0000473;4-Aminobenzoic Acid;DISRUPTS;C0018270;Growth;7
C0023764;Lipase;DISRUPTS;C0018270;Growth;7
C0040880;Triazoles;DISRUPTS;C0018270;Growth;14
C0021236;indole;DISRUPTS;C0018270;Growth;29
C0041249;Tryptophan;DISRUPTS;C0018270;Growth;46
C0039840;Thiamine;DISRUPTS;C0018270;Growth;17
C0043047;Water;DISRUPTS;C0035203;Respiration;8
C0032594;Polysaccharides;DISRUPTS;C0018270;Growth;110
C0032594;Polysaccharides;DISRUPTS;C0018903;Hemagglutination;11
C0019348;Herpes Simplex Infections;DISRUPTS;C0007634;Cells;8
C0021311;Infection;DISRUPTS;C0007634;Cells;158
C0031398;Phenylethyl Alcohol;DISRUPTS;C0018270;Growth;15
C0600688;Toxic effect;DISRUPTS;C0018270;Growth;340
C0036720;Serine;DISRUPTS;C0018270;Growth;38
C0520481;Saponin;DISRUPTS;C0596290;Cell Proliferation;7
C0132555;Nitric Oxide Synthase;DISRUPTS;C0005823;Blood Pressure;11
C0675974;17-(allylamino)-17-demethoxygeldanamycin;DISRUPTS;C0018270;Growth;25
C0243044|3320;HSP90 Heat-Shock Proteins|HSP90AA1;DISRUPTS;C0162638;Apoptosis;10
C0669372|4843;NOS2A protein, human|NOS2;DISRUPTS;C1155046;T-Cell Proliferation;9
2048|5594;EPHB2|MAPK1;DISRUPTS;C0031715;Phosphorylation;74
C0599933|5970|6857|64689|65125;p65|RELA|SYT1|GORASP1|WNK1;DISRUPTS;C0031715;Phosphorylation;49
C1451465|1398;CRK protein, human|CRK;DISRUPTS;C0031715;Phosphorylation;84
C0002318;alpha-Tubulin;DISRUPTS;C0026046;Microtubules;8
C0080222|7040;TGFB1 protein, human|TGFB1;DISRUPTS;C1523298;epithelial to mesenchymal transition;10
C0026187;Minocycline;DISRUPTS;C0162638;Apoptosis;22
C0392419;Industrial fungicide;DISRUPTS;C0018270;Growth;65
C0025270;Vitamin K 3;DISRUPTS;C0018270;Growth;23
C0034272;pyridoxine;DISRUPTS;C0018270;Growth;8
C0065632;mancozeb;DISRUPTS;C0018270;Growth;7
C0017911;Glycogen;DISRUPTS;C0017952;Glycolysis;17
C0021311;Infection;DISRUPTS;C0022688;Natural Killer Cells;13
C1101610;MicroRNAs;DISRUPTS;C0040711;Translation, Genetic;475
C1333647;Functional RNA;DISRUPTS;C0040711;Translation, Genetic;95
C0038777;Sulfur Dioxide;DISRUPTS;C0700080;Vascular proliferation;7
C0017817;Glutathione;DISRUPTS;C0007634;Cells;31
C0003082;Anisomycin;DISRUPTS;C0025260;Memory;23
142;PARP1;DISRUPTS;C0007634;Cells;19
C0020242;Hydrocarbons;DISRUPTS;C0035150;Reproduction;6
C0013328;Chlorpyrifos;DISRUPTS;C1149827;acetylcholinesterase activity;26
C0080222|7040;TGFB1 protein, human|TGFB1;DISRUPTS;C0007595;Cell Growth;64
C0011854;Diabetes Mellitus, Insulin-Dependent;DISRUPTS;C0030281;Structure of beta Cell of islet;684
C0004364;Autoimmune Diseases;DISRUPTS;C0030281;Structure of beta Cell of islet;196
C0072980;Sirolimus (substance);DISRUPTS;C0031715;Phosphorylation;204
C0243043;Heat-Shock Proteins 70;DISRUPTS;C0162638;Apoptosis;38
C0004364;Autoimmune Diseases;DISRUPTS;C0025201;melanocyte;16
C0013227;Pharmaceutical Preparations;DISRUPTS;C1516924;Epigenetic Process;15
C0384648;Interleukin-17;DISRUPTS;C0751982;Neutrophil Infiltration;8
C0021311;Infection;DISRUPTS;C0085416;Respiratory Burst;6
C0021311;Infection;DISRUPTS;C0004391;Autophagy;9
1760|28509;DMPK|IGHD1-7;DISRUPTS;C0598934;tumor growth;6
C0030956;Peptides;DISRUPTS;C0012634;Disease;11
C0079419|7157;TP53 gene|TP53;DISRUPTS;C0162638;Apoptosis;291
C0033684;Proteins;DISRUPTS;C0007137;Squamous cell carcinoma;6
C0033684;Proteins;DISRUPTS;C0027651;Neoplasm;42
C0059438;epigallocatechin gallate;DISRUPTS;C0041904;Up-Regulation (Physiology);6
C0041004;Triglycerides;DISRUPTS;C0023884;Liver;40
C0003241;Antibodies;DISRUPTS;C0039194;T-Lymphocyte;57
C0033684;Proteins;DISRUPTS;C0243144;uptake;34
C0003250;Monoclonal Antibodies;DISRUPTS;C0007634;Cells;117
C0033684;Proteins;DISRUPTS;C0009528;Complement Activation;7
C1101610;MicroRNAs;DISRUPTS;C0018270;Growth;88
C1101610;MicroRNAs;DISRUPTS;C0017262;Gene Expression;304
C0035668;RNA;DISRUPTS;C0017262;Gene Expression;90
C1333647;Functional RNA;DISRUPTS;C0017262;Gene Expression;68
C0047569;3-methyladenine;DISRUPTS;C0007620;Cell Survival;12
C0010467;Curcumin;DISRUPTS;C0007595;Cell Growth;108
C1099354;RNA, Small Interfering;DISRUPTS;C0007595;Cell Growth;167
