subject_cui;subject_name;predicate;object_cui;object_name;frequency
C0162772;Reactive Oxygen Species;STIMULATES;C0007367;CATALASE;63
C0162772;Reactive Oxygen Species;STIMULATES;C0038838;Superoxide Dismutase;119
C0000843;Abscisic Acid;STIMULATES;C0003402;Antioxidants;66
C0003402;Antioxidants;STIMULATES;C0752312;Mitogen-Activated Protein Kinases;12
C0243192;agonists;STIMULATES;C0682972;G-Protein-Coupled Receptors;136
55600;ITLN1;STIMULATES;C0031715;Phosphorylation;6
C0079904;NF-kappa B;STIMULATES;C0017337;Genes;287
C0013227;Pharmaceutical Preparations;STIMULATES;C0003286;Anticonvulsants;6
C0012854;DNA;STIMULATES;C0021740;Recombinant Interferon-gamma;14
C0012854;DNA;STIMULATES;C0123759;Interleukin-12;22
C0012854;DNA;STIMULATES;C1448177|7124;TNF protein, human|TNF;33
C0012854;DNA;STIMULATES;C0079189;cytokine;57
C0021755;Interleukin-1;STIMULATES;C0086982;Signal Transduction Pathways;9
C1366882|5594;MAPK1 gene|MAPK1;STIMULATES;1848;DUSP6;11
C0021755;Interleukin-1;STIMULATES;C0085301|2353;Proto-Oncogene Proteins c-fos|FOS;6
C0597357;receptor;STIMULATES;C0164786|207;Proto-Oncogene Proteins c-akt|AKT1;45
C0597357;receptor;STIMULATES;C0752312;Mitogen-Activated Protein Kinases;88
C0021753;Interleukin-1 beta;STIMULATES;C1120843;mitogen-activated protein kinase p38;20
C0021753;Interleukin-1 beta;STIMULATES;C0025543;Metalloproteases;34
C0021753;Interleukin-1 beta;STIMULATES;C0079189;cytokine;194
250|470|6590|10850|26033|27295|55226|80150;ALPP|ATHS|SLPI|CCL27|ATRNL1|PDLIM3|NAT10|ASRGL1;STIMULATES;C0699612;Osteogen;25
C0029419;Osteocalcin;STIMULATES;C0699612;Osteogen;29
250|470|6590|10850|26033|27295|55226|80150;ALPP|ATHS|SLPI|CCL27|ATRNL1|PDLIM3|NAT10|ASRGL1;STIMULATES;C0007634;Cells;11
C0026606;Physical activity;STIMULATES;C0920298;Weight maintenance regimen;13
C0008574;Chromium;STIMULATES;C0012854;DNA;23
C0030946;Endopeptidases;STIMULATES;C0014436;Enzyme Precursors;39
C0385333|891;cyclin B1|CCNB1;STIMULATES;C0031715;Phosphorylation;9
C0022023;Ions;STIMULATES;C0014442;Enzymes;152
C0015505;Factor VIIa;STIMULATES;C0015518;Factor X;72
C0040048;Thromboplastin;STIMULATES;C0015518;Factor X;108
C0023810;Lipopolysaccharides;STIMULATES;C0965644;HIF1alpha protein;23
C1533685;Injection procedure;STIMULATES;C0301872;Immune response;167
51761;ATP8A2;STIMULATES;C0021554;Inositol Phosphates;15
51761;ATP8A2;STIMULATES;C0031715;Phosphorylation;60
C0162326;DNA Sequence;STIMULATES;C0012854;DNA;185
C0289012|8717;TNF Receptor-Associated Death Domain Protein|TRADD;STIMULATES;C0079904;NF-kappa B;24
C0021547;Inositol;STIMULATES;C0033634;Protein Kinase C;15
C0043791;1,2-diacylglycerol;STIMULATES;C0033634;Protein Kinase C;662
C0107103;Brain-Derived Neurotrophic Factor;STIMULATES;C0027882;Neurons;127
C0132298;neurotrophic factor;STIMULATES;C0027882;Neurons;19
C0054537;calphostin C;STIMULATES;C0033634;Protein Kinase C;15
C0070750;Phorbol;STIMULATES;C0033634;Protein Kinase C;39
C0086376;GTP-Binding Proteins;STIMULATES;C0033634;Protein Kinase C;18
C0063482;indolactam V;STIMULATES;C0033634;Protein Kinase C;15
C0079883;N-Methylaspartate;STIMULATES;C0027882;Neurons;76
C0023810;Lipopolysaccharides;STIMULATES;C1451465|1398;CRK protein, human|CRK;123
C0048451;4-methoxyamphetamine;STIMULATES;C1451465|1398;CRK protein, human|CRK;6
C0243192;agonists;STIMULATES;3350;HTR1A;13
C0164786|207;Proto-Oncogene Proteins c-akt|AKT1;STIMULATES;C0007634;Cells;258
C1336635|7098;TLR3 gene|TLR3;STIMULATES;C0079904;NF-kappa B;29
C0812198|581;BAX gene|BAX;STIMULATES;C0007634;Cells;180
10049|10294|85406;DNAJB6|DNAJA2|DNAJC14;STIMULATES;C1148926;adenosinetriphosphatase activity;24
C0006521;Butyrates;STIMULATES;1026|9338|27065|644914;CDKN1A|TCEAL1|NSG1|H3F3AP6;11
C0006945;Carbachol;STIMULATES;C0021554;Inositol Phosphates;141
C0028351;Norepinephrine;STIMULATES;C0021554;Inositol Phosphates;121
C0034790;T-Cell Receptor;STIMULATES;C0006675;Calcium;18
C0600437;Nitric Oxide Donors;STIMULATES;C0018358;Guanylate Cyclase;18
C0600437;Nitric Oxide Donors;STIMULATES;C0018338;Cyclic GMP;43
760;CA2;STIMULATES;C0006784;Calpain;38
C0694888|5728;PTEN gene|PTEN;STIMULATES;C0031727;Phosphotransferases;386
C0002371;Aluminum Hydroxide;STIMULATES;C0003241;Antibodies;7
C0010749;CYTOCHROME C;STIMULATES;C0291573;caspase-3;418
C0302583;Iron;STIMULATES;C0007367;CATALASE;7
C0042196;Vaccination;STIMULATES;C0018270;Growth;257
C0031586;Phorbol Esters;STIMULATES;C0079904;NF-kappa B;35
C1366832|51761;ATPase, Aminophospholipid Transporter-Like, Class I, Type 8A, Member 2|ATP8A2;STIMULATES;C0206116;Microglia;42
5025;P2RX4;STIMULATES;C0206116;Microglia;29
C0010511;Cyanogen Bromide;STIMULATES;C0036681;Sepharose;305
C0001962;Ethanol;STIMULATES;C0018850;Heat shock proteins;25
C0004057;Aspirin;STIMULATES;C0018850;Heat shock proteins;6
C0003241;Antibodies;STIMULATES;C0034861;Recombinant Proteins;110
C0027270;Nicotinamide adenine dinucleotide (NAD);STIMULATES;C0030016;Oxidoreductase;559
C0027289;NADH;STIMULATES;C0020364;Mixed Function Oxygenases;20
C0027270;Nicotinamide adenine dinucleotide (NAD);STIMULATES;C0083074;isopropanol dehydrogenase (NADP);20
C0033684;Proteins;STIMULATES;C0312586;Polyclonal antibody;12
C0023810;Lipopolysaccharides;STIMULATES;C0015684;Fatty Acids;7
C1366832|51761;ATPase, Aminophospholipid Transporter-Like, Class I, Type 8A, Member 2|ATP8A2;STIMULATES;C0031715;Phosphorylation;251
C0034320;Diphosphates;STIMULATES;C0022917;Lactate Dehydrogenase;22
C0007641;CELLULASE;STIMULATES;C0017725;Glucose;6
C0060291;ferulic acid;STIMULATES;C0064566;Laccase;6
C0028158;Nitrogen;STIMULATES;C0043047;Water;21
C0087111;Therapeutic procedure;STIMULATES;C0043240;Wound Healing;653
C0001492;Adenylate Cyclase;STIMULATES;C0016601;Forskolin;31
C0023810;Lipopolysaccharides;STIMULATES;C0002594;Transaminases;11
C0006675;Calcium;STIMULATES;C0006784;Calpain;309
C0623362;Matrix Metalloproteinases;STIMULATES;C1448177|7124;TNF protein, human|TNF;7
C0600251;Interleukin-1 alpha;STIMULATES;C0009325;Collagen;10
C0600251;Interleukin-1 alpha;STIMULATES;C0033692;Proteoglycan;16
C0600251;Interleukin-1 alpha;STIMULATES;C0225369;Chondrocytes;14
C0667830;caspase-8;STIMULATES;C0812198|581;BAX gene|BAX;28
C0089793;1-Phosphatidylinositol 4-Kinase;STIMULATES;C0164786|207;Proto-Oncogene Proteins c-akt|AKT1;52
C0021665;Insulin-Like Growth Factor I;STIMULATES;C0164786|207;Proto-Oncogene Proteins c-akt|AKT1;271
C1335439|100616102|100862685|100862688;Polymerase|ERVK-9|ERVK-19|ERVK-11;STIMULATES;C0032136;Plasmids;6
C0018284;Growth Factor;STIMULATES;22882;ZHX2;6
C0008546;Chromatin;STIMULATES;C0031715;Phosphorylation;15
C1511518;Copy Number Polymorphism;STIMULATES;C0018338;Cyclic GMP;20
C0016388;Flavin Mononucleotide;STIMULATES;C0028195;Nitroreductases;6
C1258910;N-formylmethionyl-leucyl-phenylalanine;STIMULATES;C0027950;neutrophil;55
C0036751;Serotonin;STIMULATES;820;CAMP;67
C0006685;Calcium Channel;STIMULATES;C0006675;Calcium;47
C1335879|6786;STIM1 gene|STIM1;STIMULATES;C0299250|91544;Cytokine Inducible SH2-Containing Protein|UBXN11;8
C0030946;Endopeptidases;STIMULATES;C0032140;Plasminogen;9
C0030946;Endopeptidases;STIMULATES;C0030940;Peptide Hydrolases;18
C1335877|6778;STAT6 gene|STAT6;STIMULATES;C1334119|3565;IL4 gene|IL4;9
C0207071;Ciliary Neurotrophic Factor;STIMULATES;C1367307|6774;STAT3 gene|STAT3;19
C0299583|3952;Leptin|LEP;STIMULATES;C1367307|6774;STAT3 gene|STAT3;92
C0010934;Dactinomycin;STIMULATES;C0538674;Heme Oxygenase-1;7
C0166417;PPAR gamma;STIMULATES;C0538674;Heme Oxygenase-1;9
C0044602;1-Phosphatidylinositol 3-Kinase;STIMULATES;C0164786|207;Proto-Oncogene Proteins c-akt|AKT1;177
C0016601;Forskolin;STIMULATES;C0010531;Cyclic AMP-Dependent Protein Kinases;208
C0010656;caspase;STIMULATES;C0291573;caspase-3;57
C0042736;Viral Proteins;STIMULATES;C0733470|3439;human leukocyte interferon|IFNA1;8
C1448177|7124;TNF protein, human|TNF;STIMULATES;C0079189;cytokine;220
C0017337;Genes;STIMULATES;C0007634;Cells;556
C1336635|7098;TLR3 gene|TLR3;STIMULATES;C0015980|3439;Interferon-beta|IFNA1;31
C1141639;Human Chorionic Gonadotropin;STIMULATES;C0039601;Testosterone;174
C1141639;Human Chorionic Gonadotropin;STIMULATES;C0033308;Progesterone;126
C0857127;Induction;STIMULATES;C0011065;Cessation of life;70
C0086661|4609;MYC gene|MYC;STIMULATES;C0039194;T-Lymphocyte;9
C1321919|7099;TLR4 protein, human|TLR4;STIMULATES;C0011306;Dendritic Cells;36
C0670896;Toll-like receptors;STIMULATES;C0037080;Signal Pathways;32
C0023810;Lipopolysaccharides;STIMULATES;C0072978;RANTES;17
C0023810;Lipopolysaccharides;STIMULATES;C1337092|6347;CCL2 gene|CCL2;55
C0752312;Mitogen-Activated Protein Kinases;STIMULATES;C0079904;NF-kappa B;109
C1171892|7422;VEGF protein, human|VEGFA;STIMULATES;C0031715;Phosphorylation;209
6446;SGK1;STIMULATES;C0022009;Ion Channel;6
C0018284;Growth Factor;STIMULATES;C0752312;Mitogen-Activated Protein Kinases;152
1642;DDB1;STIMULATES;C0597304;Proteolysis;7
C0030054;Oxygen;STIMULATES;C0038323;Sterols;7
C0244989;Glycogen Synthase Kinase 3;STIMULATES;C0031715;Phosphorylation;43
C0600388;Extracellular Signal Regulated Kinases;STIMULATES;C0031715;Phosphorylation;94
C0027754|4803;Nerve Growth Factors|NGF;STIMULATES;C0085262;PC12 Cells;143
C0040648;TRANSCRIPTION FACTOR;STIMULATES;C0017337;Genes;384
C0171961;steroidogenic factor 1;STIMULATES;C0017337;Genes;7
C0961814;interleukin-22;STIMULATES;C0079189;cytokine;13
C0029923;Ovalbumin;STIMULATES;C0003320;Antigens;15
C0025800;Methylnitronitrosoguanidine;STIMULATES;C0026879;Mutagens;11
C0023810;Lipopolysaccharides;STIMULATES;C1456820|7124;Tumor Necrosis Factor-alpha|TNF;830
C0244104;Pyruvate;STIMULATES;C0376261;Lactate;30
C0596902;Membrane Transport Proteins;STIMULATES;C0027882;Neurons;6
C0003765;Arginine;STIMULATES;C0028128;Nitric Oxide;322
C0003765;Arginine;STIMULATES;C0083536;NG-Nitroarginine Methyl Ester;9
C0027229;N-Formylmethionine Leucyl-Phenylalanine;STIMULATES;C0027950;neutrophil;311
C0020960;Immune Sera;STIMULATES;C0034861;Recombinant Proteins;112
C0006632;Cadmium;STIMULATES;C0026879;Mutagens;6
C0567415;Atom;STIMULATES;C0025617;Methane;20
C0767330;leucyl-phenylalanine;STIMULATES;C0027950;neutrophil;52
C0027754|4803;Nerve Growth Factors|NGF;STIMULATES;C0035696;RNA, Messenger;24
7494;XBP1;STIMULATES;C0017337;Genes;7
C0085151;Amyloid beta-Protein Precursor;STIMULATES;C0002716;Amyloid;12
C0001962;Ethanol;STIMULATES;C0009170;Cocaine;19
C0038585;Substance P;STIMULATES;C0871829;Neurokinins;9
C0001492;Adenylate Cyclase;STIMULATES;820;CAMP;139
C1366832|51761;ATPase, Aminophospholipid Transporter-Like, Class I, Type 8A, Member 2|ATP8A2;STIMULATES;C0006675;Calcium;353
C0001443;Adenosine;STIMULATES;C0597357;receptor;51
C0597357;receptor;STIMULATES;C0001041;Acetylcholine;25
C0220839;Glutamate;STIMULATES;C0815090;ligand gated ion channels;8
C0669365|4846;NOS3 protein, human|NOS3;STIMULATES;C0031727;Phosphotransferases;9
C1449704;Fibrates;STIMULATES;C0166415;PPAR alpha;59
C0040549;Toxin;STIMULATES;C0009498;Complement System Proteins;10
C1366537|998;CDC42 gene|CDC42;STIMULATES;C0031727;Phosphotransferases;43
C0079189;cytokine;STIMULATES;C0806987;MONONUCLEAR CELLS;24
C1448177|7124;TNF protein, human|TNF;STIMULATES;C1135918;Myocytes, Smooth Muscle;109
C0006632;Cadmium;STIMULATES;C0162772;Reactive Oxygen Species;112
C0669365|4846;NOS3 protein, human|NOS3;STIMULATES;C0028128;Nitric Oxide;175
C0669372|4843;NOS2A protein, human|NOS2;STIMULATES;C0028128;Nitric Oxide;191
C0024708;Manganese Superoxide Dismutase;STIMULATES;C0007634;Cells;23
C0028128;Nitric Oxide;STIMULATES;C0208355;multicatalytic endopeptidase complex;6
C0669372|4843;NOS2A protein, human|NOS2;STIMULATES;C0085236;Macrophages, Alveolar;11
C1335634|6095;RORA gene|RORA;STIMULATES;C0007634;Cells;7
C0597357;receptor;STIMULATES;C0017337;Genes;36
C0016601;Forskolin;STIMULATES;820;CAMP;1605
C0031621;Phosphatidylinositols;STIMULATES;C0285558|207|2185;RAC-Alpha Serine/Threonine Kinase|AKT1|PTK2B;6
C0031621;Phosphatidylinositols;STIMULATES;C0072402;Protein-Serine-Threonine Kinases;6
C0002059;Alkaline Phosphatase;STIMULATES;C0007634;Cells;88
C1366832|51761;ATPase, Aminophospholipid Transporter-Like, Class I, Type 8A, Member 2|ATP8A2;STIMULATES;C0023689;Ligase;124
C0024706;Manganese;STIMULATES;C0002059;Alkaline Phosphatase;6
C0024706;Manganese;STIMULATES;C0031640;phosphoric diester hydrolase;8
C0021740;Recombinant Interferon-gamma;STIMULATES;C0014597;Epithelial Cells;22
C0021758;Interleukin-4;STIMULATES;C0014597;Epithelial Cells;23
C0214743;Interleukin-13;STIMULATES;C0014597;Epithelial Cells;34
C0040690;Transforming Growth Factor beta;STIMULATES;C0812234|387;RHOA gene|RHOA;12
C1325331|3572;IL6ST gene|IL6ST;STIMULATES;C0752312;Mitogen-Activated Protein Kinases;12
C0040690;Transforming Growth Factor beta;STIMULATES;C0039194;T-Lymphocyte;105
C0387583;cyclooxygenase 2;STIMULATES;C0242643;P-Glycoprotein;10
C0027754|4803;Nerve Growth Factors|NGF;STIMULATES;C0027882;Neurons;160
C0208355;multicatalytic endopeptidase complex;STIMULATES;C0597304;Proteolysis;167
C0079419|7157;TP53 gene|TP53;STIMULATES;C0164786|207;Proto-Oncogene Proteins c-akt|AKT1;41
C0164786|207;Proto-Oncogene Proteins c-akt|AKT1;STIMULATES;C0008838;Cisplatin;11
C1171892|7422;VEGF protein, human|VEGFA;STIMULATES;C1367307|6774;STAT3 gene|STAT3;11
C0038148;Stanolone;STIMULATES;C0138741;Prostate-Specific Antigen;21
C0060197;Fenretinide;STIMULATES;C0007745;Ceramides;15
C0060197;Fenretinide;STIMULATES;C0162772;Reactive Oxygen Species;21
C1291208;2-Oxoglutarate;STIMULATES;C0014442;Enzymes;91
C1291208;2-Oxoglutarate;STIMULATES;C0051179;alkylhalidase;12
C0001962;Ethanol;STIMULATES;C0016904;gamma-Aminobutyric Acid;84
C0005390;Bile Acids;STIMULATES;C0752312;Mitogen-Activated Protein Kinases;6
C0021641;Insulin;STIMULATES;C0597295;Protein Biosynthesis;166
C0002520;Amino Acids;STIMULATES;C1307407|2475;FRAP1 protein, human|MTOR;26
C0018284;Growth Factor;STIMULATES;C1307407|2475;FRAP1 protein, human|MTOR;9
C0008356;Cholera Toxin;STIMULATES;820;CAMP;186
C0008356;Cholera Toxin;STIMULATES;C0010531;Cyclic AMP-Dependent Protein Kinases;9
820;CAMP;STIMULATES;C1150553;PKA activity;14
C0013227;Pharmaceutical Preparations;STIMULATES;C0023821;High Density Lipoproteins;18
C0009079;Clozapine;STIMULATES;C0013030;Dopamine;55
C0009079;Clozapine;STIMULATES;C0028351;Norepinephrine;7
C0037473;Sodium;STIMULATES;C0618375;bile acid transporter;27
C0013227;Pharmaceutical Preparations;STIMULATES;C0080093;N-Methyl-D-Aspartate Receptors;7
C0006784;Calpain;STIMULATES;C0087080;SH Protease;6
6046;BRD2;STIMULATES;C0003805;Aromatase;7
C0034823;Receptors, LH;STIMULATES;C0033308;Progesterone;10
C0290758;steroidogenic acute regulatory protein;STIMULATES;C0033308;Progesterone;6
C0003805;Aromatase;STIMULATES;C0014912;Estradiol;17
355;FAS;STIMULATES;C0027950;neutrophil;10
C1321919|7099;TLR4 protein, human|TLR4;STIMULATES;C0004561;B-Lymphocytes;36
C0670896;Toll-like receptors;STIMULATES;C0004561;B-Lymphocytes;33
C0055966|1191;Clusterin|CLU;STIMULATES;C0007634;Cells;13
C1515075;Supplementation;STIMULATES;C0011065;Cessation of life;7
C0166418|5465;Peroxisome Proliferator-Activated Receptors|PPARA;STIMULATES;C0166415|5465;PPAR alpha|PPARA;10
C0023810;Lipopolysaccharides;STIMULATES;C0123759;Interleukin-12;186
C0733470|3439;human leukocyte interferon|IFNA1;STIMULATES;C0007634;Cells;128
C0282625|6714;src-Family Kinases|SRC;STIMULATES;C1519726;Tyrosine Phosphorylation;17
C0079183;Cyclins;STIMULATES;C0243045;Cyclin-Dependent Kinases;45
C0021641;Insulin;STIMULATES;C0596981;Muscle Cells;9
C0021641;Insulin;STIMULATES;C0596995;Myoblasts;8
C0021641;Insulin;STIMULATES;C0030013;Oxidative Phosphorylation;6
C0042196;Vaccination;STIMULATES;C0301872;Immune response;743
C0031858;Phytohemagglutinins;STIMULATES;C1321301;Peripheral blood mononuclear cell;548
C0018061;Gonadotropins;STIMULATES;C0597513;Steroid biosynthesis;97
C0001492;Adenylate Cyclase;STIMULATES;C0037080;Signal Pathways;6
C0018061;Gonadotropins;STIMULATES;C0039601;Testosterone;42
C0018061;Gonadotropins;STIMULATES;C0031715;Phosphorylation;7
C0018061;Gonadotropins;STIMULATES;C0002844;Androgens;27
C0018061;Gonadotropins;STIMULATES;C0001492;Adenylate Cyclase;12
C0010531;Cyclic AMP-Dependent Protein Kinases;STIMULATES;C0037080;Signal Pathways;38
C0002842;Androgen Antagonists;STIMULATES;C0023610|2796;Gonadorelin|GNRH1;15
C0014930;Estrogen Antagonists;STIMULATES;C0023610|2796;Gonadorelin|GNRH1;7
C0178601;Dopamine Agonists;STIMULATES;C0023610|2796;Gonadorelin|GNRH1;6
C0593802;Aromatase Inhibitors;STIMULATES;C0023610|2796;Gonadorelin|GNRH1;15
C1367721|1950;EGF gene|EGF;STIMULATES;C0031715;Phosphorylation;258
C0065661;Mannose Binding Lectin;STIMULATES;C0009498;Complement System Proteins;100
C0907411;Lectins, C-Type;STIMULATES;C0009498;Complement System Proteins;6
C0021757;Interleukin-3;STIMULATES;C0007634;Cells;312
C0080222|7040;TGFB1 protein, human|TGFB1;STIMULATES;C1518440;Nuclear Translocation;43
C0164786|207;Proto-Oncogene Proteins c-akt|AKT1;STIMULATES;C1150423;kinase activity;14
C1120843|1398|1432|5594|7965|9402|10598|26073;mitogen-activated protein kinase p38|CRK|MAPK14|MAPK1|AIMP2|GRAP2|AHSA1|POLDIP2;STIMULATES;C1367731|5599;MAPK8 gene|MAPK8;23
C0003009;Angiotensin II;STIMULATES;C0016030;Fibroblasts;177
C0003009;Angiotensin II;STIMULATES;C0031715;Phosphorylation;432
C0242275|1950;Epidermal Growth Factor|EGF;STIMULATES;C0020281;Hydrogen Peroxide;12
C0297981|8737;RIPK1 protein, human|RIPK1;STIMULATES;C0079904;NF-kappa B;42
C0041368;Tumor Necrosis Factors;STIMULATES;C0007634;Cells;117
C0965644;HIF1alpha protein;STIMULATES;C1171892|7422;VEGF protein, human|VEGFA;30
C0087111;Therapeutic procedure;STIMULATES;C0015895;Fertility;65
C0010531;Cyclic AMP-Dependent Protein Kinases;STIMULATES;C0001492;Adenylate Cyclase;34
C0023610;Gonadorelin;STIMULATES;C0023607;Luteinizing Hormone;361
C0022245;Isoproterenol;STIMULATES;C0085940|2353;FOS gene|FOS;8
C0017725;Glucose;STIMULATES;C0005802;Blood Glucose;92
C0009325;Collagen;STIMULATES;C0162745;COLLAGENASE;24
C0538674;Heme Oxygenase-1;STIMULATES;C0005437;Bilirubin;8
C1366832|51761;ATPase, Aminophospholipid Transporter-Like, Class I, Type 8A, Member 2|ATP8A2;STIMULATES;C1152841;ATP-gated cation channel activity;74
C0012472;Dinoprostone;STIMULATES;C0033551;Prostaglandin-Endoperoxide Synthase;18
C0040690|7040;Transforming Growth Factor beta|TGFB1;STIMULATES;C0031727;Phosphotransferases;53
C0079419|7157;TP53 gene|TP53;STIMULATES;C0812222|4193;MDM2 gene|MDM2;121
C0079419|7157;TP53 gene|TP53;STIMULATES;C0301641;Macromolecular alteration;7
C0042010;Uridine Triphosphate;STIMULATES;C0528049|5029;P2Y(2) receptor|P2RY2;7
C0079189;cytokine;STIMULATES;C0026682;Mucins;7
C0023810;Lipopolysaccharides;STIMULATES;C0026682;Mucins;45
C1448177|7124;TNF protein, human|TNF;STIMULATES;C0026682;Mucins;22
C0040688;Transforming Growth Factor alpha;STIMULATES;C0026682;Mucins;6
C0239059;Cigarette smoke;STIMULATES;C0026682;Mucins;12
C0387583;cyclooxygenase 2;STIMULATES;C0024432;macrophage;40
C0023810;Lipopolysaccharides;STIMULATES;C0387583;cyclooxygenase 2;547
C0023810;Lipopolysaccharides;STIMULATES;C0035696;RNA, Messenger;479
C0023810;Lipopolysaccharides;STIMULATES;C0033559;Prostaglandins E;172
C0023810;Lipopolysaccharides;STIMULATES;C0209548;CCAAT-Enhancer-Binding Protein-beta;12
C0023810;Lipopolysaccharides;STIMULATES;C0132555;Nitric Oxide Synthase;170
C0030054;Oxygen;STIMULATES;C0016693;Free Radicals;12
C0008203;Chlorides;STIMULATES;C0005367;Bicarbonates;14
C0006945;Carbachol;STIMULATES;C0018338;Cyclic GMP;53
C0006772;Calmodulin;STIMULATES;501;ALDH7A1;42
C0021641;Insulin;STIMULATES;C0007634;Cells;153
C0021665;Insulin-Like Growth Factor I;STIMULATES;C0007634;Cells;220
C0087111;Therapeutic procedure;STIMULATES;C0014948;Estrus;91
C0004855;Bay-K-8644;STIMULATES;C0288263;Calcium Channels, L-Type;26
C0596902;Membrane Transport Proteins;STIMULATES;C0007634;Cells;47
6446;SGK1;STIMULATES;C0031715;Phosphorylation;24
C0242275|1950;Epidermal Growth Factor|EGF;STIMULATES;C0021554;Inositol Phosphates;18
C0242275|1950;Epidermal Growth Factor|EGF;STIMULATES;C0082529;Mitogen-Activated Protein Kinase 3;10
5879;RAC1;STIMULATES;C1367731|5599;MAPK8 gene|MAPK8;35
C0220839;Glutamate;STIMULATES;C0072899;Receptors, AMPA;56
19;ABCA1;STIMULATES;3290;HSD11B1;15
C0243192;agonists;STIMULATES;C0123759;Interleukin-12;24
C0243192;agonists;STIMULATES;C0963088;interleukin-23;6
C0754728|7097;Toll-Like Receptor 2|TLR2;STIMULATES;C0085295;Interleukin-10;20
C0023810;Lipopolysaccharides;STIMULATES;C0085295;Interleukin-10;371
C0008013;Chemotactic Factors;STIMULATES;C0007578;Cell Adhesion Molecules;8
C0178555;cofactor;STIMULATES;C0033621;Protein C;149
C0016016;Plasmin;STIMULATES;C0007634;Cells;17
C0032140|5340;Plasminogen|PLG;STIMULATES;C0007634;Cells;7
C0032143;Alteplase;STIMULATES;C0032140|5340;Plasminogen|PLG;245
C0031727;Phosphotransferases;STIMULATES;C0079419|7157;TP53 gene|TP53;48
C0016213;Flavins;STIMULATES;C0051179;alkylhalidase;110
C0016213;Flavins;STIMULATES;C0913912;tryptophan halogenase;15
C0297666;SB 203580;STIMULATES;C0079633;Interleukin-8;7
C0011777;Dexamethasone;STIMULATES;C0079633;Interleukin-8;6
C0021747;Interferons;STIMULATES;C0017337;Genes;1486
C0178388;Wound dressing;STIMULATES;C0043240;Wound Healing;22
C0666364;TRANCE protein;STIMULATES;C0029431;Osteoclasts;277
C0034790;T-Cell Receptor;STIMULATES;C0021756;Interleukin-2;18
C0037533;Sodium Nitroprusside;STIMULATES;C1097411;nitric oxide receptor;66
5354|5744|25824|57026;PLP1|PTHLH|PRDX5|PDXP;STIMULATES;C0002594;Transaminases;47
5354|5744|25824|57026;PLP1|PTHLH|PRDX5|PDXP;STIMULATES;C0014442;Enzymes;420
C0285558|207|2185;RAC-Alpha Serine/Threonine Kinase|AKT1|PTK2B;STIMULATES;C0031715;Phosphorylation;17
C0021641|3630;Insulin|INS;STIMULATES;C0597295;Protein Biosynthesis;89
C0021641|3630;Insulin|INS;STIMULATES;C0031715;Phosphorylation;1195
C0079189;cytokine;STIMULATES;C0011306;Dendritic Cells;125
C0016026;Fibroblast Growth Factor;STIMULATES;C0017337;Genes;10
C0034845|7037;Transferrin Receptor|TFRC;STIMULATES;C0302583;Iron;18
C0219269;epibatidine;STIMULATES;1137;CHRNA4;7
C0136993;phytochelatin;STIMULATES;C0006632;Cadmium;9
